,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Date,,,,,,,,,,,,,,,,
2010-01-12,33.0,0.23844701013085912,0.38829286305112354,-0.8,0.03333333333333333,0.2333333333333333,0.46875,1.0,33.0,0.4900520355065809,0.2823198796595082,0.06666666666666668,0.3,0.5,0.6666666666666666,1.0
2010-01-13,54.0,0.19775259205814766,0.308186273559787,-0.5,-0.05833333333333334,0.1396103896103896,0.4,0.75,54.0,0.44838136657581096,0.2574599947620572,0.03333333333333333,0.2544642857142857,0.4907575757575757,0.6375000000000001,1.0
2010-01-14,27.0,0.24696882849660626,0.30312090859266044,-0.4,0.09,0.2,0.5,0.8,27.0,0.4836898132731467,0.20715516583961394,0.1,0.3819444444444444,0.4722222222222223,0.675,0.8333333333333334
2010-01-15,28.0,0.1898391439909297,0.4056686022927656,-0.75,0.012499999999999997,0.18666666666666668,0.5,0.8375,28.0,0.5343805400948258,0.2536509207913418,0.1,0.4,0.5,0.6818181818181818,1.0
2010-01-16,27.0,0.27804045748490197,0.2901061002985713,-0.14999999999999994,0.10227272727272727,0.2,0.4833333333333333,1.0,27.0,0.5207948532948533,0.2636025540155476,0.06666666666666668,0.30000000000000004,0.5,0.6499999999999999,1.0
2010-01-17,22.0,0.2116305096418733,0.36105077318538653,-0.3774621212121212,-0.11746212121212121,0.21250000000000002,0.5,0.85,22.0,0.5735743801652892,0.2080808448165267,0.2333333333333333,0.4520833333333334,0.6,0.6825,1.0
2010-01-18,23.0,0.22363334431269216,0.397729104897018,-1.0,0.12777777777777774,0.2872159090909091,0.5,0.8,23.0,0.6109310496267017,0.25054935135937834,0.13333333333333333,0.44166666666666665,0.5555555555555555,0.7632575757575757,1.0
2010-01-19,22.0,0.26842086995496084,0.331610690829638,-0.4,0.09226190476190475,0.28625,0.44010416666666663,1.0,22.0,0.5148302286938651,0.21249578778372932,0.05,0.3839285714285715,0.5166666666666666,0.6993055555555555,0.8
2010-01-20,33.0,0.23749258457591788,0.4368143534019984,-0.6999999999999998,0.1,0.225,0.4541666666666666,1.0,33.0,0.5676648884224641,0.22593448567313662,0.13333333333333333,0.4,0.5,0.7000000000000001,1.0
2010-01-21,18.0,0.2168095889450056,0.2683897500565398,-0.2,0.125,0.16856060606060605,0.40170454545454554,0.7,18.0,0.39393658810325477,0.19586405294076428,0.1,0.26666666666666666,0.3652777777777778,0.49272727272727274,0.9
2010-01-22,23.0,0.36938162682727904,0.2612206549927675,-0.015625,0.21764880952380952,0.3333333333333333,0.5,1.0,23.0,0.510954576824142,0.23447376316802013,0.2,0.33333333333333337,0.5,0.5942857142857143,1.0
2010-01-23,13.0,0.36250000000000004,0.4618426259139699,-0.6,0.05,0.4,0.625,1.0,13.0,0.6141025641025641,0.2621886296025773,0.13333333333333333,0.4166666666666667,0.6000000000000001,0.75,1.0
2010-01-24,14.0,0.0988881561147186,0.40473416436079535,-1.0,-0.08750000000000001,0.20416666666666666,0.3246892755681818,0.6,14.0,0.5070346320346321,0.2596256407109364,0.2,0.31420454545454546,0.4291666666666667,0.6375000000000001,1.0
2010-01-25,23.0,0.28840648331137464,0.3846602683504227,-0.375,0.1,0.25,0.5063131313131313,1.0,23.0,0.5021102327624066,0.2755547678673928,0.15000000000000002,0.275,0.4,0.6853535353535353,1.0
2010-01-26,30.0,0.22628654816713742,0.24829864628619566,-0.5,0.10555555555555554,0.2838383838383838,0.40128770172595984,0.7,30.0,0.548630365005365,0.23311148807487697,0.06666666666666668,0.3916666666666666,0.5363636363636364,0.6916666666666665,1.0
2010-01-27,32.0,0.24174772980925324,0.381304781239795,-0.5,0.07314814814814814,0.20555555555555555,0.40546875000000004,1.0,32.0,0.550315938401876,0.2622707981941733,0.1,0.34583333333333327,0.459469696969697,0.7249999999999999,1.0
2010-01-28,41.0,0.18560606060606064,0.17150818805348408,-0.4375,0.1595238095238095,0.1595238095238095,0.26785714285714285,0.625,41.0,0.423833016576919,0.17473576625053058,0.2839285714285714,0.3011904761904762,0.36666666666666653,0.4507936507936508,1.0
